IME SKLADBE,Instrumenti,Stil,Opus,Datum kompozicije,Vir,Avtorske pravice,Zadnja posodobitev,Glasbeni ID,Typeset
Enfantillages Pittoresques,Piano,Modern,Not known,1890,Paris,Creative Commons Attribution-ShareAlike 4.0,2016/Sep/14,Mutopia-2016/09/14-2132,"LilyPond, version 2.18.2"
Gymnopédie No. 1,Piano,Classical,Not known,1888,Dover Edition,Public Domain,2014/Dec/14,Mutopia-2014/12/14-37,"LilyPond, version 2.18.2"
Gymnopédie No. 2,Piano,Classical,Not known,1888,Dover Edition,Public Domain,2012/Dec/23,Mutopia-2012/12/23-38,"LilyPond, version 2.16.1"
Gymnopédie No. 3,Piano,Classical,Not known,1888,Dover Edition,Public Domain,2012/Dec/23,Mutopia-2012/12/23-39,"LilyPond, version 2.16.1"
Sonata XI from the Essercizi per Gravicembalo,"Harpsichord, Piano",Baroque,"K 11, Meter",Not known,"P.J. Tonger Musik Verlag, 19th century",Public Domain,2013/Jan/08,Mutopia-2013/01/08-141,"LilyPond, version 2.16.1"
Keyboard Sonata in G Major,Piano,Baroque,K.455,Not known,Italian Digital Library www.internetculturale.it,Creative Commons Attribution-ShareAlike 4.0,2016/Jan/25,Mutopia-2016/01/25-2104,"LilyPond, version 2.19.34"
Keyboard Sonata in D Major,Piano,Baroque,K.491,Not known,Italian Digital Library,Creative Commons Attribution-ShareAlike 4.0,2015/Dec/24,Mutopia-2015/12/24-2088,"LilyPond, version 2.19.34"
Sonata in C major,"Harpsichord, Piano",Baroque,Not known,Not known,Bartholf Senff 1880s,Public Domain,2013/Jan/08,Mutopia-2013/01/08-139,"LilyPond, version 2.16.1"
Gretchen am Spinnrade,Voice and Piano,Classical,D.118 (Op. 2),1814,C.F. Peters (Band I),Public Domain,2013/Feb/21,Mutopia-2013/02/21-503,"LilyPond, version 2.16.1"
Trost in Thränen,Voice and Piano,Romantic,D.120,1814,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1578,"LilyPond, version 2.11.62"
Nähe des Geliebten,Voice and Piano,Romantic,D.162,1815,Erste Fassung,Public Domain,2007/Oct/13,Mutopia-2007/10/13-1050,"LilyPond, version 2.11.34"
Sängers Morgenlied,Voice and Piano,Romantic,D.163 & D.165,1815,D163,Public Domain,2007/Oct/13,Mutopia-2007/10/13-1051,"LilyPond, version 2.11.34"
Die Liebe,Voice and Piano,Romantic,D.210,1815,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1579,"LilyPond, version 2.11.62"
Heidenröslein,Voice and Piano,Romantic,"D.257 (Op. 3, No. 3)",1815,Breitkopf & Härtel (1884-1897),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1555,"LilyPond, version 2.11.57"
An den Mond,Voice and Piano,Romantic,D.259,1815,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1580,"LilyPond, version 2.11.62"
An den Mond,Voice and Piano,Romantic,D.296,1815,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1581,"LilyPond, version 2.11.62"
Erlkönig,Voice and Piano,Romantic,D.328 (Op. 1),1815,C.F. Peters (Band I),Public Domain,2007/Sep/07,Mutopia-2007/09/07-1030,"LilyPond, version 2.11.32"
Erlkönig (alternative typesetting),"Voice, Piano",Romantic,D.328 (Op. 1),1815,C.F. Peters (Band I),Public Domain,2009/Jan/11,Mutopia-2009/01/11-1621,"LilyPond, version 2.12.1"
Der Wanderer,Voice and Piano,Romantic,"D.493 (Op. 4, No. 1)",1816,Breitkopf & Härtel (1884-1897),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1556,"LilyPond, version 2.11.57"
Wiegenlied,Voice and Piano,Romantic,"D.498 (Op. 98, No. 2)",1816,Indiana Edu. Web,Public Domain,2007/Oct/03,Mutopia-2007/10/03-1040,"LilyPond, version 2.10.29"
Der Tod und das Mädchen,Voice and Piano,Romantic,"D.531 (Op. 7, No. 3)",1817,Breitkopf & Härtel (1884-1897),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1544,"LilyPond, version 2.11.57"
An die Musik,Voice and Piano,Romantic,"D.547 (Op. 88, No. 4)",1817,C.F. Peters (Band I),Public Domain,2007/Sep/07,Mutopia-2007/09/07-1001,"LilyPond, version 2.11.32"
Die Forelle,Voice and Piano,Classical,D.550 (Op. 32),1817,C.F. Peters (Band I),Public Domain,2013/Feb/21,Mutopia-2013/02/21-502,"LilyPond, version 2.16.1"
Frühlingsglaube,Voice and Piano,Romantic,"D.686B (Op. 4, No 1)",1822,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1582,"LilyPond, version 2.11.62"
Die Vögel,Voice and Piano,Romantic,"D.691 (Op. 172, No. 6)",1820,Breitkopf & Härtel (1884-1897),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1557,"LilyPond, version 2.11.57"
Psalm 23,"Choir SSAA, Piano",Romantic,D.706,1820,Handschrift von Franz Schubert,Public Domain,2007/Dec/29,Mutopia-2007/12/29-1135,"LilyPond, version 2.11.34"
Suleika 2,Voice and Piano,Romantic,D.717 (Op. 31),1821,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1583,"LilyPond, version 2.11.62"
Suleika 1,Voice and Piano,Romantic,"D.720 (Op. 14, No 1)",1821,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1584,"LilyPond, version 2.11.62"
Trois Marches militaires,Piano,Romantic,D.733-1 (Op. 51),1818,Breitkopf & Härtel,Public Domain,2008/Sep/28,Mutopia-2008/09/28-1545,"LilyPond, version 2.11.57"
Trois Marches militaires,Piano,Romantic,D.733-2 (Op. 51),1818,Breitkopf & Härtel,Public Domain,2008/Sep/28,Mutopia-2008/09/28-1546,"LilyPond, version 2.11.57"
Trois Marches militaires,Piano,Romantic,D.733-3 (Op. 51),1818,Breitkopf & Härtel,Public Domain,2008/Sep/28,Mutopia-2008/09/28-1547,"LilyPond, version 2.11.57"
Selige Welt,Voice and Piano,Romantic,"D.743 (Op. 23, No 2)",1822,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1585,"LilyPond, version 2.11.62"
Schwanengesang,Voice and Piano,Romantic,"D.744 (Op. 23, No 3)",1822,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1586,"LilyPond, version 2.11.62"
Die Liebe hat gelogen,Voice and Piano,Romantic,"D.751 (Op. 23, No 1)",1822,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1587,"LilyPond, version 2.11.62"
Der Musensohn,Voice and Piano,Romantic,"D.764 (Op. 92, No. 1)",1822,Breitkopf & Härtel (1884-1897),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1558,"LilyPond, version 2.11.57"
Auf dem Wasser zu singen,Voice and Piano,Romantic,D.774 (Op. 72),1823,C.F. Peters (Band I),Public Domain,2007/Oct/13,Mutopia-2007/10/13-1052,"LilyPond, version 2.11.34"
Du bist die Ruh,Voice and Piano,Romantic,"D.776 (Op. 59, No. 3)",1823,C.F. Peters (Band I),Public Domain,2007/Oct/13,Mutopia-2007/10/13-1053,"LilyPond, version 2.11.34"
Lachen und Weinen,Voice and Piano,Romantic,"D.777 (Op. 59, No 4)",1823,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1588,"LilyPond, version 2.11.62"
Moments Musicaux No. 3 in F Minor,Piano,Romantic,"D.780 (Op. 94, No. 3)",1823,"Sauer & Leidersdorf, Wien, 1827",Public Domain,2007/Aug/11,Mutopia-2007/08/11-1023,"LilyPond, version 2.11.27"
Ungarische Melodie,Piano,Romantic,D.817,1824/Sep/02,Neue Schubert Ausgabe BA 5521,Public Domain,2006/May/08,Mutopia-2006/05/08-758,"LilyPond, version 2.8.1"
Nacht und Träume,Voice and Piano,Romantic,"D.827 (Op. 43, No. 2)",1825,C.F. Peters (Band I),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1548,"LilyPond, version 2.11.57"
Die junge Nonne,Voice and Piano,Romantic,"D.828 (Op. 43, No. 1)",1825,C.F. Peters (Band I),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1549,"LilyPond, version 2.11.57"
Ave Maria (Ellens dritter Gesang),Voice and Piano,Romantic,"D.839 (Op. 52, No. 6)",1825,C.F. Peters (Band I),Public Domain,2007/Oct/13,Mutopia-2007/10/13-1054,"LilyPond, version 2.11.34"
Fischerweise,Voice and Piano,Romantic,"D.881B (Op. 96, No 4)",1826,Breitkopf & Härtel (1884-1897),Public Domain,2008/Oct/30,Mutopia-2008/10/30-1589,"LilyPond, version 2.11.62"
Im Frühling,Voice and Piano,Romantic,D.882,1826,Breitkopf & Härtel (1884-1897),Public Domain,2008/Sep/28,Mutopia-2008/09/28-1550,"LilyPond, version 2.11.57"
An Sylvia (Who is Sylvia),Voice and Piano,Classical,D. 891,1826,Unknown,Public Domain,2008/Oct/19,Mutopia-2008/10/19-28,"LilyPond, version 2.10.33"
Impromptu in c-moll,Piano,Romantic,"D.899 (Op. 90, No. 1)",1827,"Breitkopf & Härtel, 1888",Public Domain,2007/Dec/29,Mutopia-2007/12/29-1192,"LilyPond, version 2.11.34"
Impromptu in Es-dur,Piano,Romantic,"D.899 (Op. 90, No. 2)",1827,"Breitkopf & Härtel, 1888",Public Domain,2008/Sep/28,Mutopia-2008/09/28-1551,"LilyPond, version 2.11.57"
Impromptu in Ges-dur,Piano,Romantic,"D.899 (Op. 90, No. 3)",1827,"Breitkopf & Härtel, 1888",Public Domain,2015/Nov/26,Mutopia-2015/11/26-1193,"LilyPond, version 2.18.2"
Impromptu in As-dur,Piano,Romantic,"D.899 (Op. 90, No. 4)",1827,"Breitkopf & Härtel, 1888",Public Domain,2008/Sep/28,Mutopia-2008/09/28-1552,"LilyPond, version 2.11.57"
Einsamkeit,Voice and Piano,Romantic,D.911-12 (Op. 89),1827,"Breitkopf & Härtel, 1895",Public Domain,2013/Feb/21,Mutopia-2013/02/21-373,"LilyPond, version 2.16.1"
Impromptu in f-moll,Piano,Romantic,"D.935 (Op. 142, No. 1)",1827,"Breitkopf & Härtel, 1888",Public Domain,2007/Dec/29,Mutopia-2007/12/29-1194,"LilyPond, version 2.11.34"
Impromptu in As-dur,Piano,Romantic,"D.935 (Op. 142, No. 2)",1827,"Breitkopf & Härtel, 1888",Public Domain,2007/Dec/29,Mutopia-2007/12/29-1195,"LilyPond, version 2.11.34"
Impromptu in B-dur,Piano,Romantic,"D.935 (Op. 142, No. 3)",1827,"Breitkopf & Härtel, 1888",Public Domain,2009/Nov/01,Mutopia-2009/11/01-1721,"LilyPond, version 2.12.2"
Impromptu in f-moll,Piano,Romantic,"D.935 (Op. 142, No. 4)",1827,"Breitkopf & Härtel, 1888",Public Domain,2009/Jul/16,Mutopia-2009/07/16-1689,"LilyPond, version 2.12.2"
Auf dem Strom,"Voice, Horn and Piano",Romantic,D.943,1828,B&H Critical Complete Edition,Creative Commons Attribution-ShareAlike 3.0,2008/Jan/27,Mutopia-2008/01/27-1272,"LilyPond, version 2.11.37"
Der Hirt auf dem Felsen,"Voice, Clarinet and Piano",Romantic,D.965,1828,C.F. Peters (IMSLP),Public Domain,2008/Nov/08,Mutopia-2008/11/08-1554,"LilyPond, version 2.11.57"
Kinderscenen - Von fremden Ländern und Menschen,Piano,Romantic,O 15 N 1,18th C.,"Leichte Stucke, 1900",Public Domain,2006/Jan/01,Mutopia-2006/01/01-354,"LilyPond, version 2.6.4.3"
Kinderscenen - Curiose Geschichte,Piano,Romantic,"Op. 15, No. 2",18th C.,"Leichte Stucke, 1900",Creative Commons Attribution 3.0,2013/Jan/05,Mutopia-2013/01/05-355,"LilyPond, version 2.16.1"
Kinderscenen - Hasche-Mann,Piano,Romantic,"Op. 15, No. 3",18th C.,"Leichte Stucke, 1900",Creative Commons Attribution 3.0,2013/Jan/05,Mutopia-2013/01/05-365,"LilyPond, version 2.16.1"
Kinderscenen - Bittendes Kind,Piano,Romantic,"Op. 15, No. 4",18th C.,"Leichte Stucke, 1900",Creative Commons Attribution 3.0,2013/Jan/05,Mutopia-2013/01/05-366,"LilyPond, version 2.16.1"
Kinderscenen - Glückes genug,Piano,Romantic,"Op. 15, No. 5",18th C.,"Leichte Stucke, 1900",Public Domain,2006/Feb/01,Mutopia-2006/02/01-372,"LilyPond, version 2.6.4.3"
Kinderscenen - Wichtige Begebenheit,Piano,Romantic,"Op. 15, No. 6",18th C.,"Leichte Stucke, 1900",Creative Commons Attribution 3.0,2013/Jan/05,Mutopia-2013/01/05-374,"LilyPond, version 2.16.1"
Kinderscenen - Traümerei,Piano,Romantic,O 15 N 7,18th C.,"Leichte Stucke, 1900",Public Domain,2005/Dec/27,Mutopia-2005/12/27-504,"LilyPond, version 2.6.4"
Widmung (low voice),Voice and Piano,Romantic,O 25,1840,"The University Society, 1909",Public Domain,2018/Jan/17,Mutopia-2018/01/17-2210,"LilyPond, version 2.19.65"
Widmung,Voice and Piano,Romantic,O 25,1840,"The University Society, 1909",Public Domain,2018/Jan/17,Mutopia-2018/01/17-588,"LilyPond, version 2.19.65"
Romanzen,Piano,Romantic,"Op. 28, No. 2",Not known,Ed. Peters,Public Domain,2014/Nov/20,Mutopia-2014/11/20-314,"LilyPond, version 2.18.2"
Ich grolle nicht,"Voice, Piano",Romantic,"Op. 48, No. 7",1840,"Breitkopf & Härtel, 1882",Public Domain,2013/Sep/01,Mutopia-2013/09/01-309,"LilyPond, version 2.16.1"
Album pour la jeunesse - 1.Mélodie,Piano,Romantic,O 68 n°1,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-647,"LilyPond, version 2.10.16"
Album pour la jeunesse - 2.Marche militaire,Piano,Romantic,O 68 n°2,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-650,"LilyPond, version 2.10.16"
Album pour la jeunesse - 3.Chanson fredonnée,Piano,Romantic,O 68 n°3,1848,Peters,Creative Commons Attribution-ShareAlike 3.0,2011/Sep/18,Mutopia-2011/09/18-651,"LilyPond, version 2.12.3"
Album pour la jeunesse - 4.Un choral,Piano,Romantic,O 68 n°4,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-782,"LilyPond, version 2.10.16"
Album pour la jeunesse - 5.Petite pièce,Piano,Romantic,O 68 n°5,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-653,"LilyPond, version 2.10.16"
Album pour la jeunesse - 6.Pauvre orpheline,Piano,Romantic,O 68 n°6,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-687,"LilyPond, version 2.10.16"
Album pour la jeunesse - 7.Chanson du chasseur,Piano,Romantic,O 68 n°7,1848,Peters,Creative Commons Attribution-ShareAlike 3.0,2007/May/20,Mutopia-2007/05/20-691,"LilyPond, version 2.10.23"
Album pour la jeunesse - 8.Le cavalier sauvage,Piano,Romantic,O 68 n°8,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-655,"LilyPond, version 2.10.16"
Album pour la jeunesse - 9.Chanson populaire,Piano,Romantic,O 68 n°9,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-675,"LilyPond, version 2.10.16"
Album pour la jeunesse - 10.Le gai laboureur,Piano,Romantic,O 68 n°10,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-659,"LilyPond, version 2.10.16"
Album pour la jeunesse - 11.Sicilienne,Piano,Romantic,O 68 n°11,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-783,"LilyPond, version 2.10.16"
Album pour la jeunesse - 12.Le Père Fouettard,Piano,Romantic,O 68 n°12,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-784,"LilyPond, version 2.10.16"
"Album pour la jeunesse - 13.Mai, cher Mai, ...",Piano,Romantic,O 68 n°13,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-662,"LilyPond, version 2.10.16"
Album pour la jeunesse - 14.Petite Etude,Piano,Romantic,O 68 n°14,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-786,"LilyPond, version 2.10.16"
Album pour la jeunesse - 16.Premier chagrin,Piano,Romantic,O 68 n°16,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-676,"LilyPond, version 2.10.16"
Album pour la jeunesse - 18.Chant des moissonneurs,Piano,Romantic,O 68 n°18,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-663,"LilyPond, version 2.10.16"
Album pour la jeunesse - 25.Echos du Théâtre,Piano,Romantic,O 68 n°25,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-787,"LilyPond, version 2.10.16"
Album pour la jeunesse - 26. * * * * *,Piano,Romantic,O 68 n°26,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-788,"LilyPond, version 2.10.16"
Album pour la jeunesse - 32.Sheherazade,Piano,Romantic,O 68 n°32,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-692,"LilyPond, version 2.10.16"
Album pour la jeunesse - 36.Chant de marins italiens,Piano,Romantic,O 68 n°36,1848,Peters,Creative Commons Attribution-ShareAlike 2.5,2007/Feb/11,Mutopia-2007/02/11-688,"LilyPond, version 2.10.16"
Feuilles d'album - 16.,Piano,Romantic,O 124 n°16,1841,Peters,Creative Commons Attribution-ShareAlike 2.5,2006/Feb/10,Mutopia-2006/02/10-665,"LilyPond, version 2.6.4.3"
Etude,Piano,Classical,"Op. 2, No. 1",Not known,IMSLP,Public Domain,2007/Sep/11,Mutopia-2007/09/11-1029,"LilyPond, version 2.10.29"
Prelude,Piano,Romantic,Op. 11,Not known,M.P. Belaieff (1895),Public Domain,2010/Dec/21,Mutopia-2010/12/21-1779,"LilyPond, version 2.12.3"
Préludes opus 16 - 1.,Piano,Romantic,O 16 n°1,composer's dates,"M.P.Belaïeff, Leipzig. 1897",Creative Commons Attribution-ShareAlike 2.5,2007/Feb/17,Mutopia-2007/02/17-759,"LilyPond, version 2.10.16"
Préludes opus 16 - 2.,Piano,Romantic,O 16 n°2,composer's dates,"M.P.Belaïeff, Leipzig. 1897",Creative Commons Attribution-ShareAlike 2.5,2007/Feb/17,Mutopia-2007/02/17-760,"LilyPond, version 2.10.16"
Préludes opus 16 - 3.,Piano,Romantic,O 16 n°3,composer's dates,"M.P.Belaïeff, Leipzig. 1897",Creative Commons Attribution-ShareAlike 2.5,2007/Feb/17,Mutopia-2007/02/17-761,"LilyPond, version 2.10.16"
Préludes opus 16 - 4.,Piano,Romantic,O 16 n°4,composer's dates,"M.P.Belaïeff, Leipzig. 1897",Creative Commons Attribution-ShareAlike 2.5,2007/Feb/17,Mutopia-2007/02/17-762,"LilyPond, version 2.10.16"
Préludes opus 16 - 5.,Piano,Romantic,O 16 n°5,composer's dates,"M.P.Belaïeff, Leipzig. 1897",Creative Commons Attribution-ShareAlike 2.5,2007/Feb/17,Mutopia-2007/02/17-763,"LilyPond, version 2.10.16"
Prelude,Piano,Romantic,"Op. 59, No. 2",1910,Dover reproduction,Public Domain,2014/Feb/24,Mutopia-2014/02/24-445,"LilyPond, version 2.18.0"
Little Toy Lost,Piano,Jazz,Not known,2006/Aug/23,Original work,Creative Commons Attribution-ShareAlike 2.5,2006/Oct/06,Mutopia-2006/10/06-834,"LilyPond, version 2.9.21"
Miniature No.2,Piano,Romantic,Not known,2007/Jan/18,Original work,Creative Commons Attribution-ShareAlike 2.5,2007/Jan/21,Mutopia-2007/01/21-910,"LilyPond, version 2.10.9"
The Loreley,Voice and Piano,Song,,c. 1837,Not known,Public Domain,2015/Jan/16,Mutopia-2015/01/16-438,"LilyPond, version 2.19.15"
The Harebell,Piano,Romantic,Not known,Not known,Century Music Publishing Co. c.1916,Public Domain,2016/Dec/09,Mutopia-2016/12/09-2156,"LilyPond, version 2.19.49"
El Capitan,Piano,Classical,Not known,1895,The John Church Company,Public Domain,2005/Nov/20,Mutopia-2005/11/20-600,"LilyPond, version 2.6.4"
Hail to the Spirit of Liberty,Piano,Classical,Not known,1900/Mar,The John Church Company,Public Domain,2005/Oct/17,Mutopia-2005/10/17-608,"LilyPond, version 2.6.3"
Hands across the Sea,Piano,Classical,Not known,1899/Mar,The John Church Company,Public Domain,2005/Oct/17,Mutopia-2005/10/17-609,"LilyPond, version 2.6.3"
King Cotton,Piano,Classical,Not known,1895/July/28,The John Church Company,Public Domain,2005/Nov/20,Mutopia-2005/11/20-634,"LilyPond, version 2.6.4"
The Gladiator,Piano,Classical,Not known,1886,Harry Coleman,Public Domain,2005/Nov/19,Mutopia-2005/11/19-623,"LilyPond, version 2.6.4"
The Invincible Eagle,Piano,Classical,Not known,1901,The John Church Company,Public Domain,2005/Nov/09,Mutopia-2005/11/09-624,"LilyPond, version 2.6.4"
The Liberty Bell March,Piano,Classical,Not known,1893,The John Church Company,Public Domain,2005/Nov/09,Mutopia-2005/11/09-625,"LilyPond, version 2.6.4"
The Stars and Stripes Forever,Piano,March,Not known,1896,Cincinnati,Public Domain,2017/Nov/06,Mutopia-2017/11/06-626,"LilyPond, version 2.18.2"
Transit of Venus March,Piano,March,Not known,20 Aug 1896,J. W. Pepper 1896,Public Domain,2008/May/13,Mutopia-2008/05/13-1410,"LilyPond, version 2.11.45"
The Washington Post,Piano,March,Not known,Not known,"D. Davis & Co. Sydney, 189-?",Creative Commons Attribution-ShareAlike 3.0,2009/Mar/19,Mutopia-2009/03/19-1321,"LilyPond, version 2.12.2"
The Countess of Farnham's Waltz,Piano,Popular / Dance,Not known,c1860,Original Sheet Music,Public Domain,2006/Feb/25,Mutopia-2006/02/25-682,"LilyPond, version 2.6.4.3"
La Dorset,Piano,Popular / Dance,Not known,c1860,Original Sheet Music,Public Domain,2006/Feb/25,Mutopia-2006/02/25-677,"LilyPond, version 2.6.4.3"
Prelude in Lydian Mode,Piano,Classical,Not known,1908,IMSLP #14789,Creative Commons Attribution 4.0,2014/Jul/13,Mutopia-2014/07/13-1957,"LilyPond, version 2.19.7"
"Nocturno, Op.7",Horn and Piano,Romantic,Op.7,Not known,"UE 1368, 1904",Creative Commons Attribution-ShareAlike 3.0,2008/Oct/29,Mutopia-2008/10/29-1575,"LilyPond, version 2.11.62"
Ich lade gern mir Gäste ein (Aria from Die Fledermaus),Voice and Piano,Romantic,Not known,1874,"Friedrich Schreiber, 1875",Creative Commons Attribution-ShareAlike 4.0,2017/Apr/30,Mutopia-2017/04/30-2178,"LilyPond, version 2.18.2"
The Blue Danube Waltz (main theme),Piano,Romantic,Op. 314,1867,"Christian Mondrup, from the Werner Icking Music Archive",Creative Commons Attribution-ShareAlike 4.0,2014/Mar/24,Mutopia-2014/03/24-519,"LilyPond, version 2.18.0"
Thunder and Lightning,Piano,Song,Op. 324,Not known,"C. M. Cady, Pub. 1878",Public Domain,2005/Oct/17,Mutopia-2005/10/17-610,"LilyPond, version 2.6.3"
If Ye Love Me,Voice (SATB) and Piano,Renaissance,Not known,Not known,not known,Public Domain,2014/Aug/05,Mutopia-2014/08/05-412,"LilyPond, version 2.18.2"
The Seasons: January,Piano,Romantic,"O 37,1",Not known,"Rob. Forberg, Leipzig",Public Domain,2007/Nov/26,Mutopia-2007/11/26-1171,"LilyPond, version 2.11.34"
The Seasons: February,Piano,Romantic,"O 37,2",Not known,"Rob. Forberg, Leipzig",Public Domain,2008/Apr/21,Mutopia-2008/04/21-1398,"LilyPond, version 2.11.44"
The Seasons: August,Piano,Romantic,"O 37,8",Not known,"Rob. Forberg, Leipzig",Public Domain,2006/Aug/21,Mutopia-2006/08/21-803,"LilyPond, version 2.8.6"
Morning Prayer,Piano,Romantic,"Op. 39, No. 1",1878,"Schirmer, 1904",Public Domain,2015/Jul/09,Mutopia-2015/07/09-2032,"LilyPond, version 2.18.2"
March of the Wooden Soldiers,Piano,March,"Op. 39, No. 5",Not known,"Schirmer, 1904",Public Domain,2015/Jan/17,Mutopia-2015/01/17-1806,"LilyPond, version 2.18.2"
Old French Song,Piano,Classical,"Op. 39, No. 16",1878,"Schirmer, 1904",Public Domain,2015/Nov/27,Mutopia-2015/11/27-2080,"LilyPond, version 2.18.2"
Doumka,Piano,Romantic,Op. 59,1886,Unknown,Public Domain,2014/Feb/25,Mutopia-2014/02/25-341,"LilyPond, version 2.18.0"
Napolitan Dance (Swan Lake),"Trumpet, Percussion and Piano",Classical,Not known,Not known,New arrangement,Public Domain,2006/Dec/22,Mutopia-2006/12/22-896,"LilyPond, version 2.10.4"
Aamulla varhain,Voice and Piano,Folk,Not known,Not known,Transcription,Public Domain,2007/Aug/07,Mutopia-2007/08/07-1020,"LilyPond, version 2.10.25"
Taivas on sininen ja valkoinen,Voice and Piano,Folk,Not known,Not known,Transcription,Public Domain,2007/Aug/07,Mutopia-2007/08/07-1019,"LilyPond, version 2.10.25"
Sing Ivy,Voice and Piano,Folk,Not known,1909,Folk Songs from Hampshire,Public Domain,2006/Jun/29,Mutopia-2006/06/29-789,"LilyPond, version 2.8.5"
Flee As A Bird,Voice and Piano,Song,Not known,1857,"O. Ditson & Co., 277 Washington St., Boston, Mass.",Public Domain,2005/Nov/25,Mutopia-2005/11/25-376,"LilyPond, version 2.6.4"
John Barleycorn,"Voice, Piano",Folk,Not known,1909,Folk-Songs from Hampshire,Public Domain,2014/Apr/03,Mutopia-2014/04/03-814,"LilyPond, version 2.18.2"
Lindormen,Voice and Piano,Folk,Not known,Not known,"Svenska fornsånger, 2nd part, 1837",Creative Commons Attribution-ShareAlike 2.5,2006/Dec/01,Mutopia-2006/12/01-883,"LilyPond, version 2.8.7"
Nº1. Halling.,"Piano, Violin",Folk,Verk 24,1895,Carl Warmuths Musikforlag,Creative Commons Attribution-ShareAlike 3.0,2013/Dec/07,Mutopia-2013/12/07-1889,"LilyPond, version 2.16.1"
Nº2. Bruralaat.,"Piano, Violin",Folk,Verk 24,1895,Carl Warmuths Musikforlag,Creative Commons Attribution-ShareAlike 3.0,2013/Dec/14,Mutopia-2013/12/14-1890,"LilyPond, version 2.16.2"
Nº1. Nöring.,"Piano, Violin",Folk,Verk 24,1895,Carl Warmuths Musikforlag,Creative Commons Attribution-ShareAlike 3.0,2013/Dec/14,Mutopia-2013/12/14-1894,"LilyPond, version 2.16.2"
Oats and Beans,Voice and Piano,Folk,Not known,1893,English County Songs,Public Domain,2006/Dec/21,Mutopia-2006/12/21-888,"LilyPond, version 2.10.4"
"Traditioner af Swenska Folk-Dansar, 1st part, nr 1",Piano,Folk,Not known,Not known,"Traditioner af Swenska Folk-Dansar, 1st part, 1814",Creative Commons Attribution 2.5,2006/Dec/01,Mutopia-2006/12/01-815,"LilyPond, version 2.8.7"
"Traditioner af Swenska Folk-Dansar, 1st part, nr 2",Piano,Folk,Not known,Not known,"Traditioner af Swenska Folk-Dansar, 1st part, 1814",Creative Commons Attribution 2.5,2006/Dec/01,Mutopia-2006/12/01-820,"LilyPond, version 2.8.7"
